date, pm25, pm10, o3, no2, so2, co
06/10/2021,41,23,13,26,1,2
05/10/2021,34,19,20,23,1,3
04/10/2021,38,13,25,23,1,2
03/10/2021,33,17,26,29,1,2
02/10/2021,33,15,22,17,1,2
01/10/2021,34,18,27,25,1,2
30/09/2021,33,18,25,26, ,2
29/09/2021,31,23,25,27,1,5
28/09/2021,31,17,22,19,1,7
27/09/2021,34,20,27,25,1,7
26/09/2021,40,16,31,21,1,6
25/09/2021,38,21,23,16,1,6
24/09/2021,44,18,13,21,1,7
23/09/2021,44,21,25,28,2,8
22/09/2021,51,21,20,23,1,8
21/09/2021,46,24,28,23, ,8
20/09/2021,38,20,14,22, ,7
19/09/2021,64,10,24,16, ,5
18/09/2021,49,29,16,22, ,5
17/09/2021,33,20,36,32, ,7
16/09/2021,59,14,29,35,1,7
15/09/2021,74,19,29,34,1,7
14/09/2021,59,13,27,17, ,3
13/09/2021,33,16,20,14, ,2
12/09/2021,44,11,29,12, ,1
11/09/2021,41,11,28,15, ,1
10/09/2021,40,10,31,8, ,1
09/09/2021,57,9,26,9, ,2
08/09/2021,81,16,23,9, ,1
07/09/2021,81,46,51,29, ,2
06/09/2021,59,51,53,47, ,3
05/09/2021,58,41,39,43, ,3
04/09/2021,56,33,39,17, ,3
03/09/2021,54,30,20,15, ,5
02/09/2021,37,22,24,16, ,5
01/09/2021,31,15,23,7, ,5
31/08/2021,20,7,20,7, ,5
30/08/2021,21,5,24,6, ,5
29/08/2021,28,5,25,10, ,6
28/08/2021,35,9,27,21, ,5
27/08/2021,31,12,26,21, ,5
26/08/2021,29,19,25,26, ,5
25/08/2021,26,16,27,23, ,6
24/08/2021,37,16,27,20, ,5
23/08/2021,39,22,30,21, ,6
22/08/2021,47,15,25,25, ,5
21/08/2021,43,15,24,20, ,5
20/08/2021,35,16,17,28, ,6
19/08/2021,35,13,19,23, ,5
18/08/2021,26,16,24,23, ,5
17/08/2021,31,14,22,20, ,5
16/08/2021,47,15,15,21, ,6
15/08/2021,32,21,23,17, ,5
14/08/2021,36,14,28,15, ,5
13/08/2021,37,20,28,20, ,7
12/08/2021,40,18,21,19, ,8
