YEAR,Zurich,Oxford,Dublin,Perpignan,Kaliningrad,Wien,Uccle,Kiev,Lisboa,Oslo,Madrid,Verona,Bucuresti,Hannover,Vilnius,Helsinki
2003,10.55,11.17,9.52,16.16,7.18,11.30,10.86,7.75,17.53,6.72,15.97,14.20,10.31,9.40,6.27,4.32
2004,9.57,11.22,9.34,15.51,7.73,10.88,10.64,8.91,17.20,7.37,15.13,13.34,10.77,9.70,6.86,5.03
2005,9.47,11.22,9.56,15.36,8.09,10.71,10.70,9.12,17.13,7.37,15.47,12.86,10.73,9.75,7.36,5.76
2006,9.67,11.33,9.62,15.90,7.94,10.92,11.00,8.39,17.74,7.61,15.90,13.41,11.17,9.98,6.93,5.19
2007,10.36,11.19,9.72,15.76,9.19,12.32,11.40,10.43,16.97,7.79,14.72,13.96,12.78,10.70,8.30,6.22
2008,9.76,10.75,9.37,15.74,9.10,11.70,10.76,9.84,16.96,7.78,14.93,13.50,11.74,10.20,8.21,6.78
2009,9.96,10.98,9.60,16.00,8.26,11.51,10.78,9.85,17.47,7.31,16.00,13.71,11.97,9.98,7.40,5.63
2010,9.07,10.15,8.41,15.01,7.37,10.65,9.69,9.57,17.30,5.62,14.76,12.75,11.15,8.63,7.08,4.19
2011,10.36,10.97,9.07,16.13,7.70,10.63,10.83,8.86,17.57,6.89,16.02,13.49,10.48,9.50,6.93,5.06
2012,10.14,10.76,9.23,16.00,8.26,11.76,10.63,9.80,16.95,7.34,15.55,14.09,11.98,9.96,7.30,5.14
2013,9.34,10.27,9.38,15.56,7.69,10.97,9.94,9.26,17.15,6.45,15.09,13.36,11.80,9.01,7.02,5.43
2014,10.86,11.87,10.22,16.63,9.27,12.22,12.04,9.76,17.54,8.93,16.00,14.36,11.41,11.17,8.26,6.64
2015,10.72,10.85,9.00,16.39,8.84,12.22,10.75,10.47,17.66,7.57,16.38,14.46,11.76,10.00,8.10,6.60
2016,10.58,11.55,9.80,16.62,8.99,12.09,11.05,10.13,17.99,7.64,16.18,13.93,11.98,10.59,7.74,6.06
2017,10.47,11.55,9.99,16.72,8.47,11.85,11.26,9.73,18.25,7.46,16.85,14.06,11.14,10.27,7.37,5.61
2018,11.24,11.53,9.42,16.70,9.26,12.87,11.71,10.16,17.27,7.90,15.44,14.59,12.34,10.83,8.63,6.51
2019,10.80,11.32,9.77,16.60,9.58,12.76,11.51,10.51,17.66,7.41,16.03,14.24,12.31,10.96,8.70,6.12
2020,11.35,11.78,9.67,16.94,10.10,12.26,12.08,11.26,17.85,8.73,16.13,14.17,12.69,11.11,9.39,7.79
2021,9.87,10.98,9.64,16.41,8.58,11.55,10.56,9.58,17.23,7.96,15.40,13.69,11.69,10.00,7.63,6.24
2022,11.79,12.40,10.37,17.75,8.86,12.62,12.26,9.88,18.48,8.07,16.93,14.64,12.57,11.00,7.79,5.96
