kyrsBP,InsolationJune65N
1265,456.142299
1266,450.765196
1267,448.479758
1268,449.204475
1269,452.769838
1270,458.614409
1271,466.257774
1272,474.885902
1273,483.931832
1274,492.373526
1275,499.492112
1276,504.248571
1277,505.813731
1278,503.424633
1279,497.084631
1280,487.080538
1281,474.72073
1282,461.57429
1283,449.311891
1284,439.383253
1285,432.744625
1286,429.897126
1287,430.801506
1288,435.263804
1289,442.753671
1290,452.612065
1291,464.285713
1292,476.837875
1293,489.670929
1294,501.776224
1295,512.372491
1296,520.391289
1297,525.060459
1298,525.451656
1299,521.487628
1300,513.251669
1301,501.899476
1302,488.727116
1303,475.444193
1304,463.521044
1305,453.992935
1306,447.633297
1307,444.537517
1308,444.686247
1309,447.610723
1310,452.967702
1311,459.974574
1312,468.207171
1313,476.864459
1314,485.382823
1315,493.046579
1316,499.241084
1317,503.246299
1318,504.610212
1319,502.874384
1320,498.059447
1321,490.594936
1322,481.192888
1323,470.958306
1324,461.049782
1325,452.394404
1326,445.818544
1327,441.692883
1328,440.211584
1329,441.089764
1330,444.245199
1331,449.013476
1332,455.071124
1333,461.812627
1334,468.762066
1335,475.349792
1336,481.336829
1337,486.211707
1338,489.941547
1339,492.439022
1340,493.781084
1341,494.195172
1342,494.047191
1343,493.518004
1344,492.931779
1345,492.484303
1346,492.107886
1347,491.818546
1348,491.488509
1349,490.733709
1350,489.415615
1351,487.262246
1352,484.042775
1353,479.784908
1354,474.633811
1355,468.806122
1356,462.851351
1357,457.397636
1358,452.841412
1359,449.914964
1360,448.887153
1361,449.967732
1362,453.205627
1363,458.552995
1364,465.467875
1365,473.776571
1366,482.727595
1367,491.652462
1368,499.744106
1369,506.036488
1370,509.397125
1371,509.069459
1372,504.442948
1373,495.418
1374,483.106709
1375,468.804389
1376,454.352517
1377,441.782472
1378,432.245855
1379,426.654476
1380,425.432207
1381,428.388573
1382,435.069934
1383,445.149408
1384,457.617271
1385,471.930302
1386,487.25635
1387,502.736372
1388,517.379023
1389,530.248641
1390,539.759311
1391,544.557265
1392,543.298031
1393,534.996782
1394,520.16237
1395,500.398654
1396,478.364736
1397,456.950795
1398,438.764127
1399,425.12858
1400,416.879796
1401,414.025955
1402,416.061765
1403,422.307767
1404,432.10761
1405,444.401076
1406,458.501479
1407,473.681343
1408,488.870638
1409,503.441273
1410,516.284422
1411,526.107822
1412,531.803325
1413,532.22985
1414,526.638068
1415,515.561462
1416,500.382733
1417,482.95788
1418,465.9564
1419,451.134585
1420,439.745069
1421,432.600734
1422,429.698454
1423,430.605304
1424,435.071661
1425,442.204141
1426,451.338623
1427,461.895185
1428,473.036828
1429,484.088271
1430,494.485648
1431,503.467123
1432,510.346157
1433,514.709677
1434,515.964731
1435,513.864904
1436,508.801355
1437,500.980053
1438,491.401545
1439,481.098748
1440,470.973834
1441,461.861293
1442,454.534369
1443,449.10131
1444,445.790173
1445,444.518486
1446,444.996091
1447,446.915301
1448,450.090049
1449,454.03118
1450,458.468335
1451,463.297783
1452,468.061709
1453,472.779397
1454,477.37641
1455,481.621876
1456,485.649904
1457,489.404372
1458,492.758725
1459,495.689394
1460,498.17279
1461,499.764389
1462,500.515738
1463,500.072398
1464,498.191494
1465,494.796679
1466,489.985121
1467,483.700584
